timestamp,value,stored_at
1581512401,24.48,12-02-2020
1581513301,24.48,12-02-2020
1581514201,24.475,12-02-2020
1581515101,24.475,12-02-2020
1581516001,24.475,12-02-2020
1581516902,24.475,12-02-2020
1581517802,24.475,12-02-2020
1581518702,24.47,12-02-2020
1581519601,24.47,12-02-2020
1581520501,24.47,12-02-2020
1581521402,24.46,12-02-2020
1581522301,24.46,12-02-2020
1581523201,24.46,12-02-2020
1581524102,24.46,12-02-2020
1581525002,24.46,12-02-2020
1581525901,24.46,12-02-2020
1581526802,24.46,12-02-2020
1581527702,24.46,12-02-2020
1581528602,24.46,12-02-2020
1581529501,24.46,12-02-2020
1581530402,24.46,12-02-2020
1581531301,24.46,12-02-2020
1581532201,24.46,12-02-2020
1581533102,24.46,12-02-2020
1581534001,24.46,12-02-2020
1581534902,24.46,12-02-2020
1581535801,24.46,12-02-2020
1581536702,24.46,12-02-2020
1581537601,24.46,12-02-2020
1581538501,24.46,12-02-2020
1581539401,24.46,12-02-2020
1581540301,24.46,12-02-2020
1581541201,24.46,12-02-2020
1581542102,24.46,12-02-2020
1581543002,24.46,12-02-2020
1581543902,24.46,12-02-2020
1581544801,24.46,13-02-2020
1581545701,24.46,13-02-2020
1581546601,24.46,13-02-2020
1581547501,24.46,13-02-2020
1581548401,24.46,13-02-2020
1581549301,24.46,13-02-2020
1581550202,24.46,13-02-2020
1581551101,24.46,13-02-2020
1581552001,24.46,13-02-2020
1581552901,24.46,13-02-2020
1581553801,24.46,13-02-2020
1581554701,24.46,13-02-2020
1581555602,24.46,13-02-2020
1581556502,24.46,13-02-2020
1581557401,24.46,13-02-2020
1581558301,24.46,13-02-2020
1581559201,24.46,13-02-2020
1581560101,24.46,13-02-2020
1581561001,24.46,13-02-2020
1581561901,24.46,13-02-2020
1581562802,24.46,13-02-2020
1581563702,24.46,13-02-2020
1581564602,24.46,13-02-2020
1581565502,24.46,13-02-2020
1581566401,24.46,13-02-2020
1581567301,24.46,13-02-2020
1581568202,24.46,13-02-2020
1581569101,24.46,13-02-2020
1581570001,24.46,13-02-2020
1581570901,24.46,13-02-2020
1581571801,24.46,13-02-2020
1581572701,24.46,13-02-2020
1581573602,24.46,13-02-2020
1581574501,24.46,13-02-2020
1581575401,24.46,13-02-2020
1581576301,24.46,13-02-2020
1581577201,24.46,13-02-2020
1581578101,24.46,13-02-2020
1581579002,24.46,13-02-2020
1581579245,24.46,13-02-2020
1581579261,24.46,13-02-2020
1581579312,24.46,13-02-2020
1581579323,24.46,13-02-2020
1581579329,24.46,13-02-2020
1581579515,24.46,13-02-2020
1581579780,24.46,13-02-2020
1581579902,24.46,13-02-2020
1581580802,24.46,13-02-2020
1581581702,24.46,13-02-2020
1581582601,24.45,13-02-2020
1581583501,24.45,13-02-2020
1581584402,24.45,13-02-2020
1581585302,24.45,13-02-2020
1581586202,24.45,13-02-2020
1581587101,24.45,13-02-2020
1581588002,24.45,13-02-2020
1581588902,24.45,13-02-2020
1581589801,24.445,13-02-2020
1581590701,24.445,13-02-2020
1581591602,24.445,13-02-2020
1581592501,24.445,13-02-2020
1581593401,24.445,13-02-2020
1581594301,24.46,13-02-2020
1581595202,24.46,13-02-2020
1581596102,24.46,13-02-2020
1581597001,24.465,13-02-2020
1581597902,24.465,13-02-2020
1581598801,24.465,13-02-2020
1581599702,24.465,13-02-2020
1581600602,24.475,13-02-2020
1581601501,24.475,13-02-2020
1581602401,24.475,13-02-2020
1581603301,24.475,13-02-2020
1581604202,24.475,13-02-2020
1581605102,24.475,13-02-2020
1581606001,24.475,13-02-2020
1581606901,24.475,13-02-2020
1581607802,24.48,13-02-2020
1581608701,24.48,13-02-2020
1581609601,24.48,13-02-2020
1581610501,24.48,13-02-2020
1581611401,24.48,13-02-2020
1581612302,24.48,13-02-2020
1581613201,24.48,13-02-2020
1581614102,24.48,13-02-2020
1581615001,24.48,13-02-2020
1581615901,24.48,13-02-2020
1581616801,24.48,13-02-2020
1581617702,24.48,13-02-2020
1581618602,24.48,13-02-2020
1581619501,24.48,13-02-2020
1581620402,24.48,13-02-2020
1581621301,24.48,13-02-2020
1581622201,24.48,13-02-2020
1581623102,24.48,13-02-2020
1581624001,24.48,13-02-2020
1581624901,24.48,13-02-2020
1581625801,24.48,13-02-2020
1581626702,24.48,13-02-2020
1581627601,24.48,13-02-2020
1581628501,24.48,13-02-2020
1581629401,24.48,13-02-2020
1581630301,24.48,13-02-2020
1581631202,24.48,14-02-2020
1581632102,24.48,14-02-2020
1581633001,24.48,14-02-2020
1581633901,24.48,14-02-2020
1581634802,24.48,14-02-2020
1581635701,24.48,14-02-2020
1581636601,24.48,14-02-2020
1581637502,24.48,14-02-2020
1581638401,24.48,14-02-2020
1581639302,24.48,14-02-2020
1581640202,24.48,14-02-2020
1581641101,24.48,14-02-2020
1581642001,24.48,14-02-2020
1581642901,24.48,14-02-2020
1581643801,24.48,14-02-2020
1581644701,24.48,14-02-2020
1581645602,24.48,14-02-2020
1581646501,24.48,14-02-2020
1581647402,24.48,14-02-2020
1581648301,24.48,14-02-2020
1581649202,24.48,14-02-2020
1581650101,24.48,14-02-2020
1581651002,24.48,14-02-2020
1581651901,24.48,14-02-2020
1581652802,24.48,14-02-2020
1581653701,24.48,14-02-2020
1581654601,24.48,14-02-2020
1581655501,24.48,14-02-2020
1581656401,24.48,14-02-2020
1581657301,24.48,14-02-2020
1581658201,24.48,14-02-2020
1581659101,24.48,14-02-2020
1581660001,24.48,14-02-2020
1581660902,24.48,14-02-2020
1581661802,24.48,14-02-2020
1581662701,24.48,14-02-2020
1581663602,24.48,14-02-2020
1581664501,24.48,14-02-2020
1581665402,24.48,14-02-2020
1581666301,24.48,14-02-2020
1581667202,24.48,14-02-2020
1581668101,24.48,14-02-2020
1581669002,24.48,14-02-2020
1581669901,24.48,14-02-2020
1581670801,24.48,14-02-2020
1581671701,24.48,14-02-2020
1581672601,24.48,14-02-2020
1581673502,24.48,14-02-2020
1581674402,24.48,14-02-2020
1581675302,24.48,14-02-2020
1581676201,24.48,14-02-2020
1581677102,24.48,14-02-2020
1581678002,24.48,14-02-2020
1581678901,24.48,14-02-2020
1581679801,24.48,14-02-2020
1581680701,24.48,14-02-2020
1581681601,24.48,14-02-2020
1581682502,24.48,14-02-2020
1581683402,24.48,14-02-2020
1581684301,24.48,14-02-2020
1581685201,24.48,14-02-2020
1581686101,24.48,14-02-2020
1581687002,24.48,14-02-2020
1581687901,24.48,14-02-2020
1581688802,24.48,14-02-2020
1581689702,24.48,14-02-2020
1581690601,24.48,14-02-2020
1581691502,24.48,14-02-2020
1581692401,24.48,14-02-2020
1581693301,24.48,14-02-2020
1581694202,24.48,14-02-2020
1581695101,24.48,14-02-2020
1581696001,24.48,14-02-2020
1581696901,24.48,14-02-2020
1581697802,24.48,14-02-2020
1581698701,24.48,14-02-2020
1581699602,24.48,14-02-2020
1581700502,24.48,14-02-2020
1581701401,24.48,14-02-2020
1581702301,24.48,14-02-2020
1581703201,24.48,14-02-2020
1581704101,24.48,14-02-2020
1581705002,24.48,14-02-2020
1581705901,24.48,14-02-2020
1581706801,24.48,14-02-2020
1581707701,24.48,14-02-2020
1581708601,24.48,14-02-2020
1581709502,24.48,14-02-2020
1581710401,24.48,14-02-2020
1581711302,24.48,14-02-2020
1581712201,24.48,14-02-2020
1581713101,24.48,14-02-2020
1581714001,24.48,14-02-2020
1581714901,24.48,14-02-2020
1581715801,24.48,14-02-2020
1581716702,24.48,14-02-2020
1581717601,24.48,15-02-2020
1581718502,24.48,15-02-2020
1581719401,24.48,15-02-2020
1581720301,24.48,15-02-2020
1581721201,24.48,15-02-2020
1581722101,24.48,15-02-2020
1581723001,24.48,15-02-2020
1581723902,24.48,15-02-2020
1581724801,24.48,15-02-2020
1581725701,24.48,15-02-2020
1581726602,24.48,15-02-2020
1581727501,24.48,15-02-2020
1581728401,24.48,15-02-2020
1581729301,24.48,15-02-2020
1581730201,24.48,15-02-2020
1581731102,24.48,15-02-2020
1581732002,24.48,15-02-2020
1581732902,24.48,15-02-2020
1581733801,24.48,15-02-2020
1581734701,24.48,15-02-2020
1581735601,24.48,15-02-2020
1581736502,24.48,15-02-2020
1581737402,24.48,15-02-2020
1581738302,24.48,15-02-2020
1581739201,24.48,15-02-2020
1581740102,24.48,15-02-2020
1581741001,24.48,15-02-2020
1581741901,24.48,15-02-2020
1581742802,24.48,15-02-2020
1581743701,24.48,15-02-2020
1581744602,24.48,15-02-2020
1581745501,24.48,15-02-2020
1581746401,24.48,15-02-2020
1581747302,24.48,15-02-2020
1581748202,24.48,15-02-2020
1581749101,24.48,15-02-2020
1581750001,24.48,15-02-2020
1581750901,24.48,15-02-2020
1581751801,24.48,15-02-2020
1581752701,24.48,15-02-2020
1581753601,24.48,15-02-2020
1581754501,24.48,15-02-2020
1581755401,0,15-02-2020
1581756302,24.48,15-02-2020
1581757201,24.48,15-02-2020
1581758102,24.48,15-02-2020
1581759001,24.48,15-02-2020
1581759901,24.48,15-02-2020
1581760801,0,15-02-2020
1581761701,24.48,15-02-2020
1581762602,24.48,15-02-2020
1581763502,24.48,15-02-2020
1581764402,24.48,15-02-2020
1581765301,24.48,15-02-2020
1581766201,24.48,15-02-2020
1581767102,24.48,15-02-2020
1581768001,24.48,15-02-2020
1581768902,24.48,15-02-2020
1581769802,24.48,15-02-2020
1581770701,24.48,15-02-2020
1581771602,24.48,15-02-2020
1581772501,24.48,15-02-2020
1581773401,24.48,15-02-2020
1581774302,24.48,15-02-2020
1581775202,24.48,15-02-2020
1581776102,24.48,15-02-2020
1581777002,24.48,15-02-2020
1581777901,24.48,15-02-2020
1581778801,24.48,15-02-2020
1581779701,24.48,15-02-2020
1581780602,24.48,15-02-2020
1581781501,24.48,15-02-2020
1581782401,24.48,15-02-2020
1581783301,24.48,15-02-2020
1581784201,24.48,15-02-2020
1581785101,24.48,15-02-2020
1581786002,24.48,15-02-2020
1581786901,24.48,15-02-2020
1581787802,24.48,15-02-2020
1581788701,24.48,15-02-2020
1581789601,0,15-02-2020
1581790501,24.48,15-02-2020
1581791401,24.48,15-02-2020
1581792302,24.48,15-02-2020
1581793201,24.48,15-02-2020
1581794102,24.48,15-02-2020
1581795002,24.48,15-02-2020
1581795902,24.48,15-02-2020
1581796802,24.48,15-02-2020
1581797702,24.48,15-02-2020
1581798602,24.48,15-02-2020
1581799501,24.48,15-02-2020
1581800401,24.48,15-02-2020
1581801302,24.48,15-02-2020
1581802201,24.48,15-02-2020
1581803102,24.48,15-02-2020
1581804002,24.48,16-02-2020
1581804901,0,16-02-2020
1581805802,24.48,16-02-2020
1581806701,24.48,16-02-2020
1581807607,0,16-02-2020
1581808502,24.48,16-02-2020
1581809401,0,16-02-2020
1581810302,24.48,16-02-2020
1581811202,24.48,16-02-2020
1581812101,24.48,16-02-2020
1581813002,0,16-02-2020
1581813901,0,16-02-2020
1581814802,0,16-02-2020
1581815701,0,16-02-2020
1581816601,0,16-02-2020
1581817502,24.48,16-02-2020
1581818402,0,16-02-2020
1581819301,24.48,16-02-2020
1581820202,24.48,16-02-2020
1581821105,0,16-02-2020
1581822001,24.48,16-02-2020
1581822901,0,16-02-2020
1581823802,24.48,16-02-2020
1581824701,24.48,16-02-2020
1581825607,0,16-02-2020
1581826501,24.48,16-02-2020
1581827401,0,16-02-2020
1581828301,24.48,16-02-2020
1581829201,0,16-02-2020
1581830101,24.48,16-02-2020
1581831002,24.48,16-02-2020
1581831901,24.48,16-02-2020
1581832802,0,16-02-2020
1581833702,24.48,16-02-2020
1581834601,24.48,16-02-2020
1581835501,24.48,16-02-2020
1581836401,24.48,16-02-2020
1581837301,24.48,16-02-2020
1581838201,24.48,16-02-2020
1581839101,24.48,16-02-2020
1581840002,24.48,16-02-2020
1581840901,24.48,16-02-2020
1581841801,24.49,16-02-2020
1581842701,24.49,16-02-2020
1581843602,24.49,16-02-2020
1581844502,24.49,16-02-2020
1581845401,0,16-02-2020
1581846301,24.465,16-02-2020
1581847201,24.465,16-02-2020
1581848101,24.465,16-02-2020
1581849002,24.465,16-02-2020
1581849901,24.455,16-02-2020
1581850801,24.455,16-02-2020
1581851701,24.455,16-02-2020
1581852601,24.45,16-02-2020
1581853502,24.45,16-02-2020
1581854401,24.45,16-02-2020
1581855302,24.45,16-02-2020
1581856201,24.45,16-02-2020
1581857101,24.45,16-02-2020
1581858002,24.45,16-02-2020
1581858901,24.45,16-02-2020
1581859802,24.45,16-02-2020
1581860701,24.45,16-02-2020
1581861601,24.45,16-02-2020
1581862501,24.45,16-02-2020
1581863401,24.45,16-02-2020
1581864301,24.43,16-02-2020
1581865202,24.43,16-02-2020
1581866102,24.43,16-02-2020
1581867001,24.43,16-02-2020
1581867902,24.43,16-02-2020
1581868801,24.43,16-02-2020
1581869701,24.43,16-02-2020
1581870602,24.43,16-02-2020
1581871502,24.43,16-02-2020
1581872402,24.43,16-02-2020
1581873301,24.43,16-02-2020
1581874201,24.43,16-02-2020
1581875101,24.43,16-02-2020
1581876001,24.43,16-02-2020
1581876901,24.43,16-02-2020
1581877802,24.43,16-02-2020
1581878701,24.43,16-02-2020
1581879601,24.43,16-02-2020
1581880501,24.43,16-02-2020
1581881402,24.43,16-02-2020
1581882302,24.43,16-02-2020
1581883201,24.43,16-02-2020
1581884101,24.43,16-02-2020
1581885001,24.43,16-02-2020
1581885901,24.43,16-02-2020
1581886801,24.43,16-02-2020
1581887701,24.43,16-02-2020
1581888602,24.43,16-02-2020
1581889501,24.43,16-02-2020
1581890401,24.43,17-02-2020
1581891301,24.43,17-02-2020
1581892202,24.43,17-02-2020
1581893102,24.43,17-02-2020
1581894001,24.43,17-02-2020
1581894901,24.43,17-02-2020
1581895801,24.43,17-02-2020
1581896702,24.43,17-02-2020
1581897601,24.43,17-02-2020
1581898501,24.43,17-02-2020
1581899402,24.43,17-02-2020
1581900302,24.43,17-02-2020
1581901202,24.43,17-02-2020
1581902102,24.43,17-02-2020
1581903001,24.43,17-02-2020
1581903902,24.43,17-02-2020
